year,gear,target_spp,area,catch,released,source-notes
1975,gillnet,sockeye,LFFH,45186,,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 7-9 totals
1975,gillnet,sockeye,UFFH,0,,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,gillnet,sockeye,BCGNA,42121,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,gillnet,sockeye,DC,55765,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,gillnet,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,seine,sockeye,LFFH,82642,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,seine,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,seine,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1975,troll,sockeye,all,336,0,taken from North Coast troll spreadsheet
1976,gillnet,sockeye,LFFH,25956,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,gillnet,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,gillnet,sockeye,BCGNA,34381,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,gillnet,sockeye,DC,33355,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,gillnet,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,seine,sockeye,LFFH,107906,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,seine,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,seine,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1976,troll,sockeye,all,1213,0,taken from North Coast troll spreadsheet
1977,gillnet,sockeye,LFFH,3193,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,gillnet,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,gillnet,sockeye,BCGNA,32560,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,gillnet,sockeye,DC,1114,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,gillnet,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,seine,sockeye,LFFH,51481,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,seine,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,seine,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1977,troll,sockeye,all,1019,0,taken from North Coast troll spreadsheet
1978,gillnet,sockeye,LFFH,19122,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,gillnet,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,gillnet,sockeye,BCGNA,0,0,unclear if this truly 0; estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,gillnet,sockeye,DC,581,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,gillnet,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,seine,sockeye,LFFH,33280,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,seine,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,seine,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1978,troll,sockeye,all,3322,0,taken from North Coast troll spreadsheet
1979,gillnet,sockeye,LFFH,39906,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,gillnet,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,gillnet,sockeye,BCGNA,26276,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,gillnet,sockeye,DC,39205,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,gillnet,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,seine,sockeye,LFFH,114726,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,seine,sockeye,UFFH,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,seine,sockeye,Hakai,0,0,estimated as field catch ratios by sub-area and gear type applied to the Blue Book Area 9 totals
1979,troll,sockeye,all,3653,0,taken from North Coast troll spreadsheet
