year,month,npgo_index,,,
1950,1,-2.1883951,,,
1950,2,-1.4458314,,,
1950,3,-0.9650357,,,
1950,4,-0.8587880,,,
1950,5,-0.6340822,,,
1950,6,-0.5809843,,,
1950,7,-0.7421143,,,
1950,8,-0.5493842,,,
1950,9,-0.6015450,,,
1950,10,0.1194343,,,
1950,11,-0.2570744,,,
1950,12,-0.4933665,,,
1951,1,-0.4785301,,,
1951,2,-0.4138262,,,
1951,3,-0.5695402,,,
1951,4,-0.5611402,,,
1951,5,-1.0714146,,,
1951,6,-1.4352384,,,
1951,7,-1.1039251,,,
1951,8,-1.1748547,,,
1951,9,-1.4195152,,,
1951,10,-1.0693902,,,
1951,11,-1.0120413,,,
1951,12,-1.2247459,,,
1952,1,-1.3350548,,,
1952,2,-1.0909977,,,
1952,3,-0.6695160,,,
1952,4,-0.4337192,,,
1952,5,-0.6265087,,,
1952,6,-0.9726563,,,
1952,7,-1.3356465,,,
1952,8,-0.8974282,,,
1952,9,-0.5826182,,,
1952,10,-0.2578120,,,
1952,11,-0.3162133,,,
1952,12,0.8450804,,,
1953,1,0.9439523,,,
1953,2,0.7479716,,,
1953,3,1.2173325,,,
1953,4,1.2502004,,,
1953,5,1.2707073,,,
1953,6,1.056728,,,
1953,7,1.0407542,,,
1953,8,0.618901,,,
1953,9,0.2907310,,,
1953,10,1.0815173,,,
1953,11,2.0496203,,,
1953,12,1.418955,,,
1954,1,1.0939573,,,
1954,2,1.156514,,,
1954,3,0.079373,,,
1954,4,-0.3725331,,,
1954,5,-0.1640402,,,
1954,6,0.1783807,,,
1954,7,-0.0352034,,,
1954,8,-0.1315375,,,
1954,9,-0.2628033,,,
1954,10,0.1838124,,,
1954,11,0.3547401,,,
1954,12,0.4041255,,,
1955,1,0.3262073,,,
1955,2,-0.2492755,,,
1955,3,-0.215979,,,
1955,4,0.04071,,,
1955,5,0.2614104,,,
1955,6,-0.0158941,,,
1955,7,-0.0880225,,,
1955,8,0.274527,,,
1955,9,-0.1102270,,,
1955,10,-0.5241936,,,
1955,11,-0.0800288,,,
1955,12,-0.518014,,,
1956,1,0.120267,,,
1956,2,-0.1379598,,,
1956,3,0.0229791,,,
1956,4,-0.0382349,,,
1956,5,0.1419573,,,
1956,6,0.4710672,,,
1956,7,0.463915,,,
1956,8,0.5397591,,,
1956,9,0.3006461,,,
1956,10,-0.0515090,,,
1956,11,-0.2262511,,,
1956,12,-0.7672118,,,
1957,1,-1.2715967,,,
